POST_NAME,ET_DESC,ET_PRIM_REASON,ET_PRIM_DESC,ET_SEC_REASON,ET_SEC_DESC,Count of VOL_ID
ALBANIA/MONTENEGRO,RESIGNATION,,,,,45
ALBANIA/MONTENEGRO,RESIGNATION,214,amount of work,,,1
ALBANIA/MONTENEGRO,RESIGNATION,214,amount of work,212,host country counterpart/support,1
ALBANIA/MONTENEGRO,RESIGNATION,214,amount of work,616,other personal/family related,3
ALBANIA/MONTENEGRO,RESIGNATION,214,amount of work,215,project/site development,1
ALBANIA/MONTENEGRO,RESIGNATION,510,crime and personal safety,112,administrative support,1
ALBANIA/MONTENEGRO,RESIGNATION,116,death/illness of close friend or family member,,,2
ALBANIA/MONTENEGRO,RESIGNATION,116,death/illness of close friend or family member,113,Peace Corps policies,1
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,,,1
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,410,host country culture,1
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,213,matching skills with work assignment,1
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,514,other personal safety,2
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,113,Peace Corps policies,1
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,310,physical health,1
ALBANIA/MONTENEGRO,RESIGNATION,311,emotional/mental health,712,unrealistic expectations,1
ALBANIA/MONTENEGRO,RESIGNATION,615,friend(s) or other family responsibility,,,3
ALBANIA/MONTENEGRO,RESIGNATION,615,friend(s) or other family responsibility,616,other personal/family related,4
ALBANIA/MONTENEGRO,RESIGNATION,410,host country culture,311,emotional/mental health,1
ALBANIA/MONTENEGRO,RESIGNATION,400,Job Related,,,2
ALBANIA/MONTENEGRO,RESIGNATION,213,matching skills with work assignment,410,host country culture,1
ALBANIA/MONTENEGRO,RESIGNATION,213,matching skills with work assignment,113,Peace Corps policies,1
ALBANIA/MONTENEGRO,RESIGNATION,213,matching skills with work assignment,413,site location,1
ALBANIA/MONTENEGRO,RESIGNATION,111,medical support,,,4
ALBANIA/MONTENEGRO,RESIGNATION,612,other career opportunity,,,5
ALBANIA/MONTENEGRO,RESIGNATION,612,other career opportunity,214,amount of work,1
ALBANIA/MONTENEGRO,RESIGNATION,415,other country assignment/adaptation,217,other program/work assignment,1
ALBANIA/MONTENEGRO,RESIGNATION,516,other personal safety (please explain),,,1
ALBANIA/MONTENEGRO,RESIGNATION,516,other personal safety (please explain),410,host country culture,2
ALBANIA/MONTENEGRO,RESIGNATION,616,other personal/family related,,,13
ALBANIA/MONTENEGRO,RESIGNATION,616,other personal/family related,615,friend(s) or other family responsibility,5
ALBANIA/MONTENEGRO,RESIGNATION,616,other personal/family related,412,living arrangements/housing location,1
